Name,DOI,PDF
Recent advances in ammonia synthesis technologies: Toward future zero carbon emissions,http://dx.doi.org/10.1016/j.ijhydene.2022.09.061,All PDFs available here - Green Energy Dataset
Co doping regulating electronic structure of Bi2MoO6 to construct dual active sites for photocatalytic nitrogen fixation,http://dx.doi.org/10.1016/j.apcatb.2023.123057,
"A Prompt Decarbonization Pathway for Shipping: Green Hydrogen, Ammonia, and Methanol Production and Utilization in Marine Engines",http://dx.doi.org/10.3390/atmos14030584,
Utilization of green ammonia as a hydrogen energy carrier for decarbonization in spark ignition engines,http://dx.doi.org/10.1016/j.ijhydene.2023.04.073,
Defective TiO2-x for High-Performance Electrocatalytic NO Reduction toward Ambient NH3 Production,http://dx.doi.org/10.1002/smll.202300291,
Techno-economic assessment of green hydrogen and ammonia production from wind and solar energy in Iran,http://dx.doi.org/10.1016/j.ijhydene.2022.12.285,
Estimating global production and supply costs for green hydrogen and hydrogen-based green energy commodities,http://dx.doi.org/10.1016/j.ijhydene.2022.12.046,
"A Perspective on the Overarching Role of Hydrogen, Ammonia, and Methanol Carbon-Neutral Fuels towards Net Zero Emission in the Next Three Decades",http://dx.doi.org/10.3390/en16010280,
The economics of global green ammonia trade - Shipping Australian wind and sunshine to Germany,http://dx.doi.org/10.1016/j.apenergy.2023.120662,
Techno-economic evaluation of hydrogen and ammonia as energy carriers in a multi-generation system,http://dx.doi.org/10.1016/j.enconman.2023.116670,
Potential-Driven Restructuring of Cu Single Atoms to Nanoparticles for Boosting the Electrochemical Reduction of Nitrate to Ammonia,http://dx.doi.org/10.1021/jacs.2c02262,
Sodium-Ion Battery Materials and Electrochemical Properties Reviewed,http://dx.doi.org/10.1002/aenm.201800079,
Recent Progress in Rechargeable Sodium-Ion Batteries: toward High-Power Applications,http://dx.doi.org/10.1002/smll.201805427,
Rechargeable Zinc Alkaline Anodes for Long-Cycle Energy Storage,http://dx.doi.org/10.1021/acs.chemmater.7b00754,
Stochastic coordinated operation of wind and battery energy storage system considering battery degradation,http://dx.doi.org/10.1007/s40565-016-0238-z,
Polyanion-type electrode materials for advanced sodium-ion batteries,http://dx.doi.org/10.1016/j.mtnano.2020.100072,
Assessing new transmission and energy storage in achieving increasing renewable generation targets in a regional grid,http://dx.doi.org/10.1016/j.apenergy.2019.05.066,
Fiber Optic Sensing Technologies for Battery Management Systems and Energy Storage Applications,http://dx.doi.org/10.3390/s21041397,
Challenges and Mitigation Measures in Power Systems with High Share of Renewables-The Australian Experience,http://dx.doi.org/10.3390/en15020429,
State-of-Charge Balancing Control for ON/OFF-Line Internal Cells Using Hybrid Modular Multi-Level Converter and Parallel Modular Dual L-Bridge in a Grid-Scale Battery Energy Storage System,http://dx.doi.org/10.1109/ACCESS.2018.2885083,
Investigating the role of nuclear power and battery storage in Hungary's energy transition using hourly resolution electricity market simulations,http://dx.doi.org/10.1016/j.heliyon.2024.e29841,
Using electrolytic hydrogen production and energy storage for balancing a low carbon electricity grid: Scenario assessments for India,http://dx.doi.org/10.1016/j.egycc.2024.100131,
"Impacts of grid-scale battery systems on power system operation, case of Baltic region",http://dx.doi.org/10.1049/stg2.12142,
Performance Evaluation Of Grid-scale Battery Energy Storage System Employing Virtual Synchronous Generator Control For Grid Code Compliance In Weak Grids,http://dx.doi.org/10.1109/SAUPEC60914.2024.10445060,
